| time |reset|ARegister|DRegister|PC[]|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 0    |  1  |       0 |       0 |   0|       0 |       0 |       0 |
| 2    |  0  |       2 |       0 |   0|       0 |       0 |      -1 |
| 22   |  0  |      30 |       0 |  30|       0 |       0 |       0 |
| 22   |  1  |      30 |       0 |  30|       0 |       0 |       0 |
| 24   |  0  |       2 |       0 |   0|       1 |       0 |      -1 |
| 74   |  0  |      30 |       0 |  30|       1 |       0 |       0 |
| 156  |  0  |      30 |       0 |  30|       0 |       2 |       0 |
| 278  |  0  |      30 |       0 |  30|       3 |       1 |       3 |
| 430  |  0  |      30 |       0 |  30|       2 |       4 |       8 |
| 642  |  0  |      30 |       0 |  30|       6 |       7 |      42 |
